house_number,street,area,postal_code,city,location_lat,location_lng,long_name,phone_number,website,url,plus_code,place_id,rating,price_level,address,wheelchair_access,cuisine
30,Schlossstraße,,71634,Ludwigsburg,48.8993217,9.196039,Ludwigsburg Residential Palace,+49 7141 186400,https://www.schloss-ludwigsburg.de/start,https://maps.google.com/?cid=698604318610215620,8FWFV5XW+PC,ChIJNxUm65TRmUcRxNJQKe3wsQk,4.6,,"Schlossstraße 30, Ludwigsburg",True,
6,Schillerpl.,Stuttgart-Mitte,70173,Stuttgart,48.7770621,9.1795471,Old Castle,+49 711 89535111,https://www.landesmuseum-stuttgart.de/,https://maps.google.com/?cid=14985869769227993091,8FWFQ5GH+RR,ChIJu5y9eDXbmUcRA4AZFSiB-M8,4.7,,"Schillerplatz 6, Stuttgart",True,
1,Solitude,Stuttgart-West,70197,Stuttgart,48.7868934,9.0843368,Castle Solitude,+49 711 3514772,http://www.schloss-solitude.de/,https://maps.google.com/?cid=9050867090577934403,8FWFQ3PM+QP,ChIJr7OQdt_bmUcRQ8grU6ojm30,4.6,,"Solitude 1, Stuttgart",True,
8,Schloßpl.,,73230,Kirchheim unter Teck,48.6471825,9.4494178,Schloss Kirchheim,+49 7071 602802,http://www.schloss-kirchheim.de/,https://maps.google.com/?cid=12127401017917761378,8FWFJCWX+VQ,ChIJc59RQQeWmUcRYuey2fguTag,4.5,,"Schloßplatz 8, Kirchheim unter Teck",,
5,Blumenstraße,,73257,Köngen,48.6856182,9.3602441,Schloss Köngen,+49 7024 800766,,https://maps.google.com/?cid=9520293255961350221,8FWFM9P6+63,ChIJXRRcJIq_mUcRTZAfj0bgHoQ,4.5,,"Blumenstraße 5, Köngen",True,
1,Burg,,73728,Esslingen am Neckar,48.7450212,9.309291,Esslingen am Neckar Castle,+49 711 39693969,http://www.esslingen.de/,https://maps.google.com/?cid=12141842448132421206,8FWFP8W5+2P,ChIJBT-F1MzGmUcRVjaxV2B9gKg,4.6,,"Burg 1, Esslingen am Neckar",True,
5,Münchinger Str.,,71282,Hemmingen,48.8658406,9.0356155,Hemmingen castle,+49 7150 92030,http://www.hemmingen.de/,https://maps.google.com/?cid=6757756942339187168,8FWFV28P+86,ChIJr0veRJTXmUcR4KGOiiJgyF0,4.7,,"Münchinger Straße 5, Hemmingen",,
,,,71229,Leonberg,48.8013429,9.0120285,Leonberg Castle,,,https://maps.google.com/?cid=17510259691164760223,8FWFR226+GR,ChIJw_Bbx_LYmUcRn3i3cGrwAPM,4.1,,"Schlosshof 7, Leonberg",,
4,Schloßpl.,Stuttgart-Mitte,70173,Stuttgart,48.7779689,9.1818709,Neues Schloss,+49 7141 182004,http://www.neues-schloss-stuttgart.de/,https://maps.google.com/?cid=5366991967889890921,8FWFQ5HJ+5P,ChIJHecoQDXbmUcRaZ5zXsJie0o,4.6,,"Schloßplatz 4, Stuttgart",True,
,,Scharnhausen,73760,Ostfildern,48.7105323,9.2600405,Lustschloss Scharnhausen,,https://hpz-scharnhausen.de/ueber-uns/schloessle-scharnhausen,https://maps.google.com/?cid=14904443700320162740,8FWFP766+62,ChIJl4Vm3tTDmUcRtFNkDJQ4184,4.2,,"Unnamed Road, 1, Ostfildern",,
12,Wolfgangstraße,Mühlhausen,70378,Stuttgart,48.8381873,9.2282335,Burg Hofen,,https://geoo.me/Burg_Hofen,https://maps.google.com/?cid=18113815791759758689,8FWFR6QH+77,ChIJ7TiYVovPmUcRYZWz0n0zYfs,4.4,,"Wolfgangstraße 12, Stuttgart",,
6,Ludwigsburger Str.,Beihingen,71691,Freiberg am Neckar,48.9368012,9.204763,Schlosskelter,+49 7141 76441,https://www.freiberg-an.de/de/kultur-freizeit-sport/kultureinrichtungen/veranstaltungshaeuser/schlosskelter,https://maps.google.com/?cid=18076451794884328493,8FWFW6P3+PW,ChIJe29XYz_SmUcRLXyNYSJ13Po,4.2,,"Ludwigsburger Straße 6, Freiberg am Neckar",True,
1,Nippenburg,,71701,Schwieberdingen,48.8609771,9.0587477,Nippenburg,+49 7150 39530,,https://maps.google.com/?cid=14359586680898082631,8FWFV365+9F,ChIJr8jZX3bXmUcRR1dchAGAR8c,4.4,,"Nippenburg 1, Schwieberdingen",,
1,Mauren,,71139,Ehningen,48.6504659,8.9788369,Schloss Mauren,,,https://maps.google.com/?cid=325183271712100399,8FWCMX2H+5G,ChIJv2hD1qzhmUcRL5BMdXZIgwQ,5,,"Mauren 1, Ehningen",,
21,Kornwestheimer Str.,Stammheim,70439,Stuttgart,48.8487813,9.1586247,Schloss Stammheim,,,https://maps.google.com/?cid=12589634423390455022,8FWFR5X5+GC,ChIJP-MqznzQmUcR7sQ3Ks5dt64,4.3,,"Kornwestheimer Straße 21, Stuttgart",True,
5,Münchinger Str.,,71254,Ditzingen,48.8282074,9.0681042,Schloss Ditzingen,,https://de.m.wikipedia.org/wiki/Schloss_Ditzingen,https://maps.google.com/?cid=3757235679265067250,8FWFR3H9+76,ChIJqQhpvt7ZmUcR8pAEkPFhJDQ,,,"Münchinger Straße 5, Ditzingen",,
35,Mönchfeldstraße,Mühlhausen,70378,Stuttgart,48.844099,9.2292401,Palm'sches Schloss,,https://www.stuttgart.de/item/show/19280/1/,https://maps.google.com/?cid=13985588475341079034,8FWFR6VH+JM,ChIJNcC-XO3PmUcR-oGAl57KFsI,4.4,,"Mönchfeldstraße 35, Stuttgart",True,
25,Schlossstraße,,71088,Holzgerlingen,48.6362709,9.0136174,Schloss Kalteneck,+49 7031 6808331,https://www.holzgerlingen.de/de/die-stadt/stadtportrait/sehenswertes/rundgang_kultur/burg-kalteneck.php,https://maps.google.com/?cid=15870592705205376898,8FWFJ2P7+GC,ChIJEwrzlSvgmUcRghesuPqrP9w,4.5,,"Schlossstraße 25, Holzgerlingen",,
,Ludwigsburger Str.,Beihingen,71691,Freiberg am Neckar,48.9368016,9.2047778,Schloß Relter,,,https://maps.google.com/?cid=10033373591111463766,8FWFW6P3+PW,ChIJaTifYz_SmUcRVvP7PB-0PYs,,,"Ludwigsburger Straße, Freiberg am Neckar",,
39,Schlößlesweg,,73732,Esslingen am Neckar,48.7611597,9.3046475,Schloss Serach,,,https://maps.google.com/?cid=2815700457231718406,8FWFQ863+FV,ChIJ-VDCyM3HmUcRBpgzy6VgEyc,4.4,,"Schlößlesweg 39, Esslingen am Neckar",,
