about,about_specific,for_children,name,plus_code
art,art,0,Kunstmuseum,Q5HH+82 Stuttgart
ethnology,ethnology,0,Linden-Museum,Q5M9+3X Stuttgart
history,history,0,Landesmuseum Württemberg,Q5GH+WV Stuttgart
history,history,0,StadtPalais,Q5GM+CM Stuttgart
technology,cars,0,Mercedes-Benz Museum,Q6QM+8F Stuttgart
art,modern art,1,Museum der Illusionen,Q5RM+2F Stuttgart
art,art,0,Staatsgalerie,Q5JP+2J Stuttgart
history,natural history,1,Naturkundemuseum am Löwentor,R54R+42 Stuttgart
technology,cars,0,Porsche Museum,R5M3+M2 Stuttgart
history,national history,0,Haus der Geschichte,Q5HP+G9 Stuttgart
history,natural history,1,Naturkundemuseum Schloss Rosenstein,R624+6C Stuttgart
history,natural history,1,Kindermuseum Junges Schloss,Q5GH+RJ Stuttgart
pigs,pigs,1,Schweinemuseum,Q6P9+8X Stuttgart
technology,public transport,1,Straßenbahnmuseum,Q6X9+MG Stuttgart
society,police,0,Polizeimuseum,R56Q+22 Stuttgart
cosmology,cosmology,1,Planetarium,Q5MP+8Q Stuttgart
history,agricultural history,0,Landwirtschaftsmuseum,P57X+3C Stuttgart
history,wine history,0,Weinbaumuseum,Q7GH+HM Stuttgart
technology,computers,0,Computermuseum,P4W4+3G Stuttgart
