name,Status[5],area,lower_end,upper_end,number_of_steps,"length","height",Bild,"named_after"
Adlerstaffel,,Stuttgart-Süd,Adlerstraße,Schickhardtstraße,,,35,,–
Albert-Ebert-Staffel,offiziell,Stuttgart-Münster,Freibergstraße,Lechweg,,,8,,"Albert Ebert (benannt 1993, deutscher Maler)"
Alice-Haarburger-Staffel,offiziell,Stuttgart-Degerloch (Hoffeld),Nauener Straße,Hoffeldstraße,,,23,,"Alice Haarburger (benannt 1987, deutsche Malerin)"
Altenbergstaffel,offiziell,Stuttgart-Süd,Altenbergstraße,Neue Weinsteige,258,116,35,,"Alter Weinberg, bevor der Weinbau nach heutigem Stand kultiviert wurde"
Altenburger Staffel,offiziell,Stuttgart-Bad Cannstatt,Altenburger Steige,Altenburger Steige,,,14,,Ortsteil Altenburg d. mittelalterlichen Gemeinde Brye und Altenburg
Am Bopserweg,,Stuttgart-Süd,,,,,27,,–
Am Mühlkanal,,Stuttgart-Ost,,,,,,,–
Aspenwaldstaffel,,Stuttgart-Botnang,Aspenwaldstraße,Vaihinger Landstraße,,,,,–
Augustenstaffel,,Stuttgart-Süd,Kaltenlochweg,Augustenweg,,,,,–
Bärenstäffele,offiziell,Stuttgart-Feuerbach,Dieterlesstraße,Forsthausstraße,,,6,,"Bär (benannt 1986, Raubtierart)"
Birkendörfle,,Stuttgart-Nord,,,,,5,,–
Bismarckstaffel,,Stuttgart-West,Obere Bismarckstraße,Reinsburgstraße,,,,,Otto von Bismarck (deutscher Reichskanzler)
Bopserklinge,,Stuttgart-Süd,,,,,42,,–
Bopserstaffel,,Stuttgart-Süd,,,60,,,,–
Bruddlerstaffel,offiziell,Stuttgart-Mitte,Kernerstraße,Haußmannstraße,111,,20,,"Bruddler (benannt 2019, allgemeiner schwäbischer Begriff für Meckerer oder Nörgler)"
Bruckmannweg,,Stuttgart-Nord,,,,,2,,–
Buchauer Staffel,offiziell,Stuttgart-Wangen,Kirchweinberg,Buchauer Straße,,,6,,Stadt Bad Buchau
Buchenhofstaffel,offiziell,Stuttgart-West,Rotenwaldstraße,Hasenbergsteige,,,51,,"Hotel Buchenhof (benannt 1979, ehem. Luftkurhotel an der Hasenbergsteige)"
Buchwaldstaffel,offiziell,Stuttgart-Ost (Gablenberg),Bergstraße,Im Buchwald,,,18,,"Buchenwald (benannt 1948, Waldart)"
Burghaldenstaffel,offiziell,Stuttgart-Feuerbach,Fahrionstraße,Burghaldenweg,,,60,,"Burghalde (benannt 1938, ehem. Burg Frauenberg)"
Claudiusstraße,,Stuttgart-West,Claudiusstraße,Klopstockstraße,176,74,,,–
Claire-Waldoff-Weg,,Stuttgart-Botnang,,,,,,,Claire Waldoff (deutsche Chanson-Sängerin)
Cottastaffel,,Stuttgart-Süd,"Alexanderstraße, Cottastraße",Neue Weinsteige,50,23,8,,–
Dillmannstaffel/Falkertstaffel,,Stuttgart-West,Falkertstraße,Hölderlinstraße,87,,,,–
Dobelstaffel,offiziell,Stuttgart-Mitte,Sonnenbergstraße,Stafflenbergstraße,104/106,44,17,,"Dobel oder Tobel (benannt 2016, Bezeichnung für ein tief eingeschnittenes Tal)"
Dürrbeinstaffel,offiziell,"Stuttgart-Birkach, Stadtteil Schönberg",Schönbergstraße,Hallimaschweg,,,14,,"Dürrbein (benannt 1957, volgstümliche Bezeichnung für den Speisepilz Nelkenschwindling)"
Eltingerstaffel,,Stuttgart-Botnang,Eltinger Straße,Donizettistraße,,,,,–
Ehrenhaldenstaffel,offiziell,Stuttgart-Nord,Schottstraße,Robert-Bosch-Straße,,,25,,"Ehrenhalde (benannt 1934, vom Flurname Herrenhalde, geistliche Herren eines Klosters)"
Else-Himmelheber-Staffel,offiziell,Stuttgart-Süd,Arminstraße,Mörikestraße,166,92,26,,"Else Himmelheber (benannt 1997, Widerstandskämpferin)"
