object_type,kind,name,address,Phone Number,Link


Bar,Irish,Irish Pub,Marienstraße 28,0711 6159853,http://www.biddyearlys.com/
Bar,None,SAUSALITOS,Theodor-Heuss-Straße 10,0711 25394920,https://www.sausalitos.de/standorte?location=41
Bar,Club,Tequila Bar,Königstraße 22,01590 4392552,https://tequilabar-stuttgart.com/
Bar,Outdoor,Palast der Republik,Friedrichstraße 27,None,None
Bar,None,EM - innenstadt.kinos,Bolzstraße 4,0711 2290440,https://www.innenstadtkinos.de/
Bar,None,Delphi Arthaus Kino,Tübinger Straße 6,0711 292495,http://www.arthaus-kino.de/
Bar,None,CinemaxX,Robert-Bosch-Platz 1,040 80806969,https://www.cinemaxx.de/kinoprogramm/stuttgart-liederhalle
Cinema,None,Stadtbibliothek,Mailänder Platz 1,0711 21691100,https://stadtbibliothek-stuttgart.de/
Cinema,None,Dachterrasse Stadtbibliothek,Mailänder Platz 1,0711 21691100,https://stadtbibliothek-stuttgart.de/
Cinema,None,Schlossplatz,Schloßplatz,0711 22280,https://www.stuttgart-tourist.de/en/a-schlossplatz-stuttgart-palace-square
Library,Tower,Killesbergturm,Thomastraße 99,None,http://www.killesbergturm.de/
View,Tower,Fernsehturm,Jahnstraße 120,0711 232597,http://www.fernsehturm-stuttgart.de/
View,Palace,Schloss Solitude,Solitude 1,0711 3514772,http://www.schloss-solitude.de/
View,,Planetarium,Willy-Brandt-Straße 25,0711 21689015,http://www.planetarium-stuttgart.de/
View,None,Wilhelma,Wilhelma 13,0711 54020,http://www.wilhelma.de/
View,,,,,
Museum,,,,,
Zoo,,,,,
