name;house_number;street;area;postal_code;city;location_lat;location_lng;long_name;phone_number;website;url;plus_code;place_id;rating;price_level;vicinity;wheelchair_accessible_entrance
Palm Tree African Restaurant;15;Brückenstraße;Bad Cannstatt;70376;Stuttgart;None;None;Palm Tree African Restaurant;+49 1521 8201631;https://palm-tree-african-restaurant.business.site/?utm_source=gmb&utm_medium=referral;https://maps.google.com/?cid=18229581173180357589;8FWFR646+VC;ChIJSWkTn33FmUcR1VuQF357_Pw;4.4;None;Brückenstraße 15, Stuttgart;None
Ambiente Africa;1;Werastraße;Stuttgart-Mitte;70182;Stuttgart;None;None;Ambiente Africa;+49 711 2365511;http://www.restaurantafrika.de/;https://maps.google.com/?cid=16616639309412206264;8FWFQ5HQ+37;ChIJdx56O8rEmUcRuIZOxmkpmuY;4.5;2;Werastraße 1, Stuttgart;False
Ebony;11;Herzogstraße;Stuttgart-West;70176;Stuttgart;None;None;Ebony;+49 711 625834;http://www.ebony-stuttgart.de/;https://maps.google.com/?cid=10216196744533559561;8FWFQ5F9+G3;ChIJWYW0IkbbmUcRCclsuc84x40;4.7;2;Herzogstraße 11, Stuttgart;None
Makamba;16;Schlosserstraße;Süd;70180;Stuttgart;None;None;Makamba;+49 711 6400754;http://www.restaurant-makamba.de/;https://maps.google.com/?cid=10639127672916274945;8FWFQ59G+XR;ChIJ_R-990zbmUcRAe8zAEDGpZM;4.3;2;Schlosserstraße 16, Stuttgart;True
Madagascar;61;Filderstraße;Süd;70180;Stuttgart;None;None;Madagascar;+49 711 50456044;http://www.madagascar-stuttgart.de/;https://maps.google.com/?cid=7423466364684940808;8FWFQ579+CF;ChIJO9PkH1HbmUcRCDYb1VNzBWc;4.6;3;Filderstraße 61, Stuttgart;False
African Bistro Black White;17;Kolbstraße;Süd;70180;Stuttgart;None;None;African Bistro Black White;None;None;https://maps.google.com/?cid=2239717482560080496;8FWFQ57C+X7;ChIJd-Njn1HbmUcRcMo5ES8TFR8;5;None;Kolbstraße 17, Stuttgart;None
Jakes Diner Bar;31;Filderbahnpl.;Möhringen;70567;Stuttgart;None;None;Jakes Diner Bar;+49 711 99746815;http://www.jakes-diner-bar.de/;https://maps.google.com/?cid=8721498069845101513;8FWFP4JX+9C;ChIJ5R-1gcTcmUcRyUtfOkn8CHk;4.7;2;Filderbahnplatz 31, Stuttgart;True
The Ladies Diner;29;Alleenstraße;None;73730;Esslingen am Neckar;None;None;The Ladies Diner;+49 711 35840900;http://www.theladies.de/;https://maps.google.com/?cid=11437746882826354949;8FWFP9F3+CM;ChIJAWJICr3AmUcRBUGyrTAKu54;4.6;2;Alleenstraße 29, Esslingen am Neckar;True
Kelley Club;3300;Kelley Barracks;Möhringen;70567;Stuttgart;None;None;Kelley Club;+49 711 7294660;None;https://maps.google.com/?cid=14601754211066447502;8FWFP5CG+R4;ChIJQ81cOi_DmUcRjgYucBfao8o;3.7;None;Kelley Barracks 3300, Stuttgart;True
Asiamo Restaurant;147;Stuttgarter Str.;None;71332;Waiblingen;None;None;Asiamo Restaurant;+49 7151 9765788;http://www.asiamo-waiblingen.de/;https://maps.google.com/?cid=9400047743254684837;8FWFR7CW+99;ChIJN6y6T_zFmUcRpWRocJ6tc4I;4.3;2;Stuttgarter Straße 147, Waiblingen;True
Dong Kinh Asia Restaurant;25;Berliner Str.;None;71034;Böblingen;None;None;Dong Kinh Asia Restaurant;+49 7031 437777;https://www.dongkinh.de/;https://maps.google.com/?cid=14460152464351703039;8FWFM2J4+77;ChIJQ7U8uYXgmUcR_y-smw3IrMg;4.1;1;Berliner Straße 25, Böblingen;True
New Asia Imbiss;27;Adlerstraße;Süd;70199;Stuttgart;None;None;New Asia Imbiss;+49 711 66483388;https://www.new-asia-imbiss-stuttgart.de/;https://maps.google.com/?cid=15770911018218435608;8FWFQ577+F5;ChIJyYKgMFrbmUcRGDQ0YQOI3do;4.3;1;Adlerstraße 27, Stuttgart;False
GOI TO GO;38;Motorstraße;Weilimdorf;70499;Stuttgart;None;None;GOI TO GO;+49 711 260000;http://www.goi.de/;https://maps.google.com/?cid=1834781427702027274;8FWFR3GX+JQ;ChIJne2yVejamUcRCtSpxvxzdhk;4.3;1;Motorstraße 38, Stuttgart;True
