;about;about_specific;for_children;name;plus_code;house_number;street;area;postal_code;city;location_lat;location_lng;long_name;phone_number;website;url;place_id;rating;price_level;vicinity;wheelchair_accessible_entrance
0;art;art;0;Kunstmuseum;8FWFQ5HH+82;1;Kleiner Schloßplatz;Stuttgart-Mitte;70173;Stuttgart;48.7783294;9.1775786;Kunstmuseum Stuttgart;+49 711 21619600;https://www.kunstmuseum-stuttgart.de/;https://maps.google.com/?cid=4917880019491879330;ChIJy3mewTXbmUcRovnNWdLRP0Q;4.4;None;Kleiner Schloßplatz 1, Stuttgart;True
1;ethnology;ethnology;0;Linden-Museum;8FWFQ5M9+3X;1;Hegelpl.;Stuttgart-Mitte;70174;Stuttgart;48.7827449;9.1699941;Linden Museum;+49 711 20223;https://www.lindenmuseum.de/;https://maps.google.com/?cid=5660316349639155952;ChIJ6zPNHzrbmUcR8OCT-Lp7jU4;4.4;None;Hegelplatz 1, Stuttgart;True
2;history;history;0;Landesmuseum Württemberg;8FWFQ5GH+WV;6;Schillerpl.;Stuttgart-Mitte;70173;Stuttgart;48.7773476;9.179635;History Museum Württemberg;+49 711 89535111;https://www.landesmuseum-stuttgart.de/;https://maps.google.com/?cid=16572996511533812224;ChIJRahndzXbmUcRAMrCDYUc_-U;4.5;None;Altes Schloss, Schillerplatz 6, Stuttgart;True
3;history;history;0;StadtPalais;8FWFQ5GM+CM;2;Konrad-Adenauer-Straße;Stuttgart-Mitte;70173;Stuttgart;48.77602520000001;9.1841978;Wilhelm Palais;+49 711 21625800;http://www.stadtpalais-stuttgart.de/;https://maps.google.com/?cid=2505336372341939489;ChIJS27UYLXEmUcRIZ1OJCi-xCI;4.5;None;Konrad-Adenauer-Straße 2, Stuttgart;True
4;technology;cars;0;Mercedes-Benz Museum;8FWFQ6QM+8F;100;Mercedesstraße;Bad Cannstatt;70372;Stuttgart;48.7883399;9.2336743;Mercedes-Benz Museum;+49 711 1730000;https://www.mercedes-benz.com/museum;https://maps.google.com/?cid=13936095416089791380;ChIJkd8d2v7EmUcRlEv7v_H0ZsE;4.8;None;Mercedesstraße 100, Stuttgart;True
5;art;modern art;1;Museum der Illusionen;8FWFQ5RM+2F;27;Mailänder Platz;Stuttgart-Mitte;70173;Stuttgart;48.7900325;9.1836826;Museum der Illusionen Stuttgart;+49 711 56618546;http://stuttgart.museumderillusionen.de/;https://maps.google.com/?cid=10548429635019662655;ChIJz3SHJLvbmUcRP-WMdd2MY5I;4.1;None;Mailänder Platz 27, Stuttgart;True
6;art;art;0;Staatsgalerie;8FWFQ5JP+2J;30-32;Konrad-Adenauer-Straße;Stuttgart-Mitte;70173;Stuttgart;48.7801002;9.1865854;Staatsgalerie Stuttgart;+49 711 470400;https://www.staatsgalerie.de/;https://maps.google.com/?cid=6894434549702281557;ChIJ1Q2AB8vEmUcRVUkv1rHzrV8;4.6;None;Konrad-Adenauer-Straße 30-32, Stuttgart;True
7;history;natural history;1;Naturkundemuseum am Löwentor;8FWFR54R+42;1-3;Rosenstein;Bad Cannstatt;70191;Stuttgart;48.80533330000001;9.1900769;State Museum of Natural History Stuttgart;+49 711 89360;http://www.naturkundemuseum-bw.de/;https://maps.google.com/?cid=18218260456756722009;ChIJhbNSvtLamUcRWbmHZlxD1Pw;4.5;None;Rosenstein 1-3, Stuttgart;True
8;technology;cars;0;Porsche Museum;8FWFR5M3+M2;1;Porscheplatz;Zuffenhausen;70435;Stuttgart;48.8342104;9.152554499999999;Porsche Museum;+49 711 91120911;https://www.porsche.com/germany/aboutporsche/porschemuseum/;https://maps.google.com/?cid=4359595003385706887;ChIJ4dnOMofamUcRh3lftY5kgDw;4.7;4;Porscheplatz 1, Stuttgart;True
9;history;national history;0;Haus der Geschichte;8FWFQ5HP+G9;16;Konrad-Adenauer-Straße;Stuttgart-Mitte;70173;Stuttgart;48.7788068;9.185947799999997;Haus der Geschichte Baden-Württemberg;+49 711 2123989;https://www.hdgbw.de/;https://maps.google.com/?cid=4723069206747432013;ChIJDZ4BHcvEmUcRTUTEbWu2i0E;4.4;None;Konrad-Adenauer-Straße 16, Stuttgart;True
