name;plus_code
Zeppelinstraße ;Q5J2+J4 Stuttgart
Hasenbergsteige;Q584+G3 Stuttgart
Leibnizstraße;Q4JR+6V Stuttgart
Uhlandshöhe;Q5JV+GQ Stuttgart
Weißenburgpark;Q57J+WV Stuttgart
Birkenwaldstraße;Q5VG+W7 Stuttgart
Santiago-de-Chile-Platz;Q54F+53 Stuttgart
Leonorenstraße;Q539+5J Stuttgart
Straußstaffel;Q5HX+8R Stuttgart
Aussichtsterrasse am Teehaus;Q57M+P3 Stuttgart
Aussichtsturm Burgholzhof;R59M+8M Stuttgart
Ruine Uhlandshöhe;Q5JV+8M Stuttgart
Bismarckturm;Q5V6+FG Stuttgart
Geroksruhe ;Q58X+VX Stuttgart
Schillerhöhe;Q57J+2R Stuttgart
Heinrich-Heine-Höhe;Q5CR+MG Stuttgart
Birkacher Feld;P5CX+VV Stuttgart
Karlshöhe;Q597+6J Stuttgart
Aussichtspunkt am Flughafen Stuttgart;M6RP+66 Filderstadt
Fernsehturm Stuttgart;Q54R+82 Stuttgart
Killesbergturm;R54C+4F Stuttgart
Feuerbacher Heide;Q5V6+VM Stuttgart
Schillerlinde;Q6FH+57 Stuttgart
