name;plus_code;house_number;street;area;postal_code;city;location_lat;location_lng;long_name;phone_number;website;url;place_id;rating;price_level;vicinity;wheelchair_accessible_entrance;cuisine
Zeppelinstraße ;None;None;Zeppelinstraße;Stuttgart-West;70193;Stuttgart;48.7814452;9.1535507;Zeppelinstraße;None;None;https://maps.google.com/?q=Zeppelinstra%C3%9Fe,+70193+Stuttgart,+Germany&ftid=0x4799db148799571d:0x158f124a53b25142;ChIJHVeZhxTbmUcRQlGyU0oSjxU;None;None;Stuttgart-West;None;None
Hasenbergsteige;None;None;Hasenbergsteige;None;None;Stuttgart;48.7659895;9.152917100000002;Hasenbergsteige;None;None;https://maps.google.com/?q=Hasenbergsteige,+Stuttgart,+Germany&ftid=0x4799db67857ffdd1:0xc65b26267ca378dd;ChIJ0f1_hWfbmUcR3XijfCYmW8Y;None;None;Stuttgart;None;None
Leibnizstraße;None;None;Leibnizstraße;Stuttgart-West;70193;Stuttgart;48.7811222;9.1434675;Leibnizstraße;None;None;https://maps.google.com/?q=Leibnizstra%C3%9Fe,+70193+Stuttgart,+Germany&ftid=0x4799db0d41112c7b:0x7388445c679740b7;ChIJeywRQQ3bmUcRt0CXZ1xEiHM;None;None;Stuttgart-West;None;None
Uhlandshöhe;8FWFQ5MW+MC;None;None;Stuttgart-Ost;70188;Stuttgart;48.78416699999999;9.196111;Uhlandshöhe;None;None;https://maps.google.com/?cid=14404526593747537611;ChIJlcX1v8_EmUcRy079WZ4o58c;4;None;Uhlandshöhe;None;None
Weißenburgpark;8FWFQ58M+C9;3;Bopserwaldstraße;Süd;70184;Stuttgart;48.7660274;9.183471899999997;Weißenburgpark;None;https://www.stuttgart-tourist.de/a-weissenburgpark;https://maps.google.com/?cid=17996589301582828131;ChIJV1nTi63EmUcRY5JwqZ66wPk;4.6;None;Bopserwaldstraße 3, Stuttgart;True;None
Birkenwaldstraße;None;None;Birkenwaldstraße;None;None;Stuttgart;48.7936138;9.174186899999999;Birkenwaldstraße;None;None;https://maps.google.com/?q=Birkenwaldstra%C3%9Fe,+Stuttgart,+Germany&ftid=0x4799db261fb148b9:0xebd7f6b5f81c196;ChIJuUixHybbmUcRlsGBX2t_vQ4;None;None;Stuttgart;None;None
Santiago-de-Chile-Platz;8FWFQ54F+53;None;None;Süd;70597;Stuttgart;48.7554622;9.172664000000001;Santiago de Chile Place;+49 171 3231428;https://www.stuttgart-tourist.de/a-santiago-de-chile-platz-stuttgart;https://maps.google.com/?cid=7397181013937240308;ChIJ69WB9qrcmUcR9Dj-svAQqGY;4.7;None;Santiago de Chile Platz;None;None
Leonorenstraße;None;None;Leonorenstraße;Degerloch;70597;Stuttgart;48.7534158;9.169008;Leonorenstraße;None;None;https://maps.google.com/?q=Leonorenstra%C3%9Fe,+70597+Stuttgart,+Germany&ftid=0x4799dca958a88763:0xc1af23dbd76f51f0;ChIJY4eoWKncmUcR8FFv19sjr8E;None;None;Degerloch;None;None
Straußstaffel;None;None;Straußstaffel;Stuttgart Ost;70184;Stuttgart;48.77866059999999;9.1994514;Straußstaffel;None;None;https://maps.google.com/?q=Strau%C3%9Fstaffel,+70184+Stuttgart,+Germany&ftid=0x4799c4c6f4987093:0x2d609208ed6e12a0;ChIJk3CY9MbEmUcRoBJu7QiSYC0;None;None;Stuttgart Ost;None;None
Aussichtsterrasse am Teehaus;8FWFQ57M+P3;119;Hohenheimer Str.;Süd;70184;Stuttgart;48.7643571;9.182674499999997;Aussichtsterrasse am Teehaus;None;None;https://maps.google.com/?cid=11672546431508473909;ChIJdYWsoa3EmUcRNehQuiI3_aE;4.8;None;Hohenheimer Straße 119, Stuttgart;None;None
Aussichtsturm Burgholzhof;8FWFR59V+HW;200;Auerbachstraße;Bad Cannstatt;70376;Stuttgart;48.8189451;9.194758300000002;Observation Tower Burgholzhof;+49 711 22280;https://www.stuttgart-tourist.de/a-aussichtsturm-burgholzhof;https://maps.google.com/?cid=10597053920078200792;ChIJZUXA3bTamUcR2P_rC2VMEJM;4.5;None;Auerbachstraße 200, Stuttgart;False;None
Ruine Uhlandshöhe;8FWFQ5JV+8M;40D;Haußmannstraße;Stuttgart Ost;70188;Stuttgart;48.7808089;9.194201899999998;Ruine Uhlandshöhe;None;None;https://maps.google.com/?cid=2462424380609565767;ChIJKYsfMs_EmUcRR5R-fO1JLCI;4.8;None;Haußmannstraße 40D, Stuttgart;False;None
Bismarckturm;8FWFQ5V6+FG;35;Am Bismarckturm;Nord;70192;Stuttgart;48.7936466;9.161343700000002;Bismarckturm Stuttgart;+49 711 815251;https://www.stuttgart.de/tourismus/sehenswuerdigkeiten/bismarckturm.php;https://maps.google.com/?cid=10000703900438521169;ChIJM4r0Th_bmUcRUWWAITajyYo;4.6;None;Am Bismarckturm 35, Stuttgart;None;None
Geroksruhe ;8FWFQ682+FF;None;None;Stuttgart-Ost;70184;Stuttgart;48.76621759999999;9.2011725;Geroksruhe (Merz Schule);None;None;https://maps.google.com/?cid=14111438066324880056;ChIJhQCO5bzEmUcRuDo43Sfm1cM;4.4;None;Germany;True;None
Schillerhöhe;None;None;None;Gerlingen-Schillerhöhe;70839;Gerlingen;48.7894468;9.066322800000002;Gerlingen-Schillerhöhe;None;None;https://maps.google.com/?q=Gerlingen-Schillerh%C3%B6he,+70839+Gerlingen,+Germany&ftid=0x4799d96bcd7f0585:0x37902fed03107a94;ChIJhQV_zWvZmUcRlHoQA-0vkDc;None;None;Gerlingen-Schillerhöhe;None;None
